description,keyword,qty,price,supplier,barcode,"batch code",brand,category,safety
"Blue Gadget",item,436,1.16,SupplierC,338903191336,B5439,BrandY,Household,Critical
"Yellow Device",widget,378,63.41,SupplierB,466691536394,B9661,BrandY,Automotive,Critical
"Blue Gadget",tool,263,60.41,SupplierC,924512165692,B9044,BrandY,Automotive,Critical
"Green Tool",device,292,79.07,SupplierD,470847023219,B1442,BrandX,Electronics,High
"Purple Item",item,110,83.86,SupplierA,525428288554,B4983,BrandX,Toys,Low
"Yellow Device",widget,370,5.07,SupplierA,699466240644,B9771,BrandY,Automotive,Low
"Red Widget",device,303,34.30,SupplierD,213106403765,B3239,BrandZ,Electronics,Critical
"Purple Item",tool,458,86.33,SupplierB,497840043003,B4533,BrandY,Household,Medium
"Yellow Device",gadget,45,7.44,SupplierD,577137782117,B5343,BrandY,Electronics,Medium
"Purple Item",item,79,30.07,SupplierA,787799053577,B6877,BrandY,Automotive,High
"Yellow Device",tool,86,38.53,SupplierA,427504128964,B4602,BrandX,Electronics,High
"Yellow Device",device,36,27.92,SupplierB,162146999512,B7190,BrandZ,Household,Low
"Green Tool",tool,456,51.87,SupplierB,264187576385,B8400,BrandZ,Toys,Critical
"Purple Item",gadget,311,85.24,SupplierB,880301372805,B1604,BrandX,Automotive,Medium
"Red Widget",widget,60,16.22,SupplierC,629520694844,B9900,BrandX,Toys,Critical
"Yellow Device",gadget,180,66.54,SupplierD,201909743894,B2353,BrandX,Outdoor,Medium
"Green Tool",item,472,67.13,SupplierC,642760525509,B5261,BrandZ,Outdoor,Low
"Blue Gadget",gadget,424,86.14,SupplierB,537445534252,B2741,BrandY,Household,Low
"Blue Gadget",tool,309,64.47,SupplierB,416996620359,B1087,BrandY,Automotive,Critical
"Red Widget",gadget,480,85.38,SupplierB,223262696958,B7490,BrandZ,Toys,Medium
"Blue Gadget",tool,207,49.29,SupplierA,574555126384,B9014,BrandX,Automotive,Low
"Green Tool",item,266,56.87,SupplierC,163362300803,B5461,BrandX,Automotive,High
"Yellow Device",tool,47,28.69,SupplierD,389198468217,B9428,BrandX,Outdoor,Medium
"Yellow Device",gadget,331,36.80,SupplierB,734944676855,B9934,BrandY,Toys,Medium
"Blue Gadget",item,39,4.03,SupplierB,385769953120,B4884,BrandZ,Toys,Critical
"Yellow Device",gadget,451,83.91,SupplierB,872242406715,B6866,BrandY,Outdoor,Medium
"Red Widget",device,324,5.03,SupplierA,853965213289,B1145,BrandZ,Outdoor,Medium
"Red Widget",tool,464,25.74,SupplierC,662507036518,B3438,BrandY,Household,Medium
"Purple Item",widget,437,56.13,SupplierB,738624423478,B6361,BrandX,Electronics,Critical
"Blue Gadget",widget,387,70.74,SupplierC,262286273339,B3170,BrandX,Toys,Medium
"Purple Item",device,411,91.06,SupplierB,197889283354,B2191,BrandY,Outdoor,Medium
"Blue Gadget",item,474,51.98,SupplierB,668237294200,B4452,BrandZ,Electronics,High
"Red Widget",widget,343,65.99,SupplierB,368349263283,B8203,BrandX,Outdoor,Critical
"Purple Item",item,102,67.76,SupplierB,536825867449,B8412,BrandY,Electronics,High
"Yellow Device",widget,119,89.51,SupplierC,958687584119,B6590,BrandX,Toys,Low
"Blue Gadget",widget,350,37.29,SupplierA,812347404134,B6494,BrandX,Toys,Medium
"Yellow Device",widget,191,50.64,SupplierA,501143456924,B2357,BrandZ,Electronics,High
"Red Widget",gadget,258,44.56,SupplierC,773410139711,B4216,BrandX,Toys,Medium
"Purple Item",device,1,96.11,SupplierD,447494995575,B2309,BrandY,Automotive,Critical
"Purple Item",device,61,14.67,SupplierA,679583095638,B9551,BrandY,Outdoor,Critical
"Green Tool",item,488,8.68,SupplierA,140858050003,B5537,BrandY,Automotive,High
"Yellow Device",gadget,487,3.51,SupplierB,204669381015,B2211,BrandY,Electronics,Medium
"Blue Gadget",item,272,45.34,SupplierB,562593317392,B7644,BrandZ,Electronics,Critical
"Yellow Device",widget,314,27.92,SupplierC,939524098243,B7510,BrandZ,Electronics,Critical
"Yellow Device",gadget,191,36.06,SupplierD,517540006751,B5418,BrandZ,Electronics,Medium
"Yellow Device",gadget,122,83.78,SupplierC,575345400598,B1540,BrandZ,Electronics,Medium
"Red Widget",widget,20,50.38,SupplierB,618682278357,B5863,BrandX,Automotive,High
"Green Tool",gadget,337,81.78,SupplierC,893010180039,B4517,BrandX,Electronics,Low
"Yellow Device",tool,414,29.00,SupplierC,797514389164,B7564,BrandZ,Household,High
"Blue Gadget",device,309,37.30,SupplierD,832814925818,B1709,BrandZ,Electronics,Medium
"Green Tool",gadget,246,32.51,SupplierD,730121980991,B1968,BrandX,Toys,Low
"Blue Gadget",tool,441,95.21,SupplierB,799083823505,B9992,BrandY,Toys,Low
"Purple Item",gadget,63,25.83,SupplierD,467417183928,B4005,BrandX,Electronics,Medium
"Yellow Device",item,429,1.25,SupplierD,580951772030,B1875,BrandX,Automotive,High
"Red Widget",device,160,62.65,SupplierC,257731819351,B8746,BrandZ,Outdoor,Low
"Blue Gadget",item,302,14.37,SupplierA,645204340449,B6287,BrandX,Household,Medium
"Green Tool",gadget,465,80.47,SupplierA,866597253792,B3058,BrandZ,Automotive,Low
"Blue Gadget",device,303,60.16,SupplierA,718961376973,B2844,BrandX,Toys,Critical
"Red Widget",item,358,79.68,SupplierB,772537357431,B7312,BrandZ,Electronics,Medium
"Blue Gadget",item,496,21.37,SupplierC,210801515815,B1504,BrandZ,Household,Critical
"Red Widget",widget,72,14.14,SupplierC,830396759826,B1866,BrandZ,Household,Low
"Red Widget",item,136,69.63,SupplierB,744201167121,B2689,BrandY,Toys,Medium
"Red Widget",gadget,337,63.40,SupplierC,521490261350,B4879,BrandX,Toys,Critical
"Blue Gadget",tool,67,67.86,SupplierD,653478334298,B1571,BrandZ,Household,Critical
"Blue Gadget",item,54,19.83,SupplierC,685736975731,B2533,BrandX,Household,High
"Blue Gadget",tool,42,39.74,SupplierC,748926009330,B9162,BrandZ,Toys,High
"Blue Gadget",gadget,492,18.46,SupplierD,204104220996,B7399,BrandY,Outdoor,Low
"Red Widget",gadget,377,14.35,SupplierA,626876762176,B2586,BrandX,Toys,Low
"Blue Gadget",device,130,1.88,SupplierD,646805331517,B2293,BrandX,Automotive,Low
"Yellow Device",tool,197,48.47,SupplierD,581491128397,B5237,BrandZ,Household,Low
"Green Tool",widget,4,6.71,SupplierC,959441184652,B4998,BrandY,Outdoor,High
"Yellow Device",tool,66,91.59,SupplierD,591426581033,B1982,BrandX,Automotive,Medium
"Yellow Device",widget,362,76.39,SupplierD,751713597528,B8174,BrandZ,Electronics,Low
"Green Tool",widget,37,71.55,SupplierB,104188507417,B9145,BrandX,Toys,High
"Purple Item",item,498,42.19,SupplierD,816650076549,B2744,BrandY,Household,High
"Green Tool",gadget,244,85.57,SupplierC,642303932266,B2438,BrandY,Outdoor,Critical
"Red Widget",widget,82,67.11,SupplierB,538981899868,B4440,BrandY,Toys,Medium
"Green Tool",device,336,51.62,SupplierC,901413952569,B9211,BrandY,Outdoor,Critical
"Blue Gadget",gadget,56,77.86,SupplierD,525786640778,B7850,BrandZ,Toys,Medium
"Blue Gadget",item,405,11.08,SupplierD,812221361595,B2445,BrandZ,Household,High
"Red Widget",tool,52,15.22,SupplierC,210607741265,B9421,BrandZ,Outdoor,Critical
"Red Widget",tool,195,13.83,SupplierC,899625231594,B1624,BrandZ,Household,High
"Purple Item",widget,404,63.15,SupplierB,495559660014,B6203,BrandX,Outdoor,Low
"Blue Gadget",device,71,34.76,SupplierA,100791736118,B2889,BrandY,Outdoor,Critical
"Blue Gadget",device,357,51.36,SupplierA,169777513051,B5729,BrandZ,Electronics,Critical
"Blue Gadget",gadget,21,36.36,SupplierC,632367031497,B1579,BrandZ,Household,Critical
"Purple Item",gadget,77,93.40,SupplierB,929088640981,B7677,BrandY,Household,Medium
"Purple Item",widget,88,9.01,SupplierA,787001900395,B1868,BrandX,Automotive,High
"Red Widget",item,149,29.97,SupplierC,829064011800,B8899,BrandY,Toys,High
"Green Tool",widget,146,40.04,SupplierA,334535612313,B8991,BrandZ,Automotive,Low
"Blue Gadget",item,462,98.57,SupplierA,418870581553,B1558,BrandX,Automotive,Low
"Red Widget",item,50,25.88,SupplierD,910625353515,B6091,BrandX,Automotive,Medium
"Blue Gadget",widget,90,10.66,SupplierA,417127507100,B1655,BrandY,Household,Low
"Purple Item",tool,43,4.44,SupplierB,625564175862,B5185,BrandX,Automotive,Low
"Red Widget",device,497,42.23,SupplierB,967484307218,B4371,BrandY,Automotive,Critical
"Purple Item",widget,324,67.46,SupplierD,432431277667,B9397,BrandX,Outdoor,Low
"Purple Item",gadget,63,79.50,SupplierD,873817654244,B2779,BrandY,Electronics,Medium
"Red Widget",device,449,23.02,SupplierB,604481598027,B7991,BrandZ,Automotive,Medium
"Green Tool",item,488,33.09,SupplierD,807579556034,B7244,BrandY,Household,Medium
"Purple Item",gadget,184,41.97,SupplierC,710898462930,B3680,BrandX,Electronics,High
"Blue Gadget",device,2,70.30,SupplierB,549463481087,B5402,BrandY,Household,Medium
"Blue Gadget",item,436,2.13,SupplierD,850132701182,B3756,BrandZ,Electronics,Medium
"Blue Gadget",item,236,99.86,SupplierC,256318079854,B8776,BrandZ,Electronics,Low
"Red Widget",tool,171,81.35,SupplierA,372837999380,B9920,BrandZ,Automotive,High
"Blue Gadget",gadget,280,97.19,SupplierC,293824600271,B8689,BrandZ,Automotive,Medium
"Red Widget",item,272,5.69,SupplierC,865586003500,B7763,BrandY,Automotive,Critical
"Yellow Device",tool,77,97.82,SupplierC,873585000754,B5466,BrandY,Toys,Medium
"Green Tool",device,410,58.53,SupplierD,966671165255,B3642,BrandX,Automotive,Medium
"Green Tool",device,481,51.95,SupplierC,232588574516,B7775,BrandY,Toys,Low
"Green Tool",widget,209,78.75,SupplierA,261907093631,B9493,BrandX,Toys,Medium
"Yellow Device",tool,247,16.32,SupplierA,800133012338,B4508,BrandZ,Household,High
"Purple Item",widget,102,80.00,SupplierC,989547454176,B8237,BrandX,Automotive,Medium
"Blue Gadget",item,360,7.07,SupplierD,947536000475,B9274,BrandX,Automotive,Critical
"Yellow Device",item,41,32.98,SupplierC,691316677105,B7178,BrandZ,Outdoor,Low
"Yellow Device",tool,500,25.40,SupplierD,302855016538,B2700,BrandY,Automotive,High
"Purple Item",item,359,54.31,SupplierB,488295822547,B1333,BrandX,Outdoor,High
"Green Tool",item,200,52.40,SupplierC,115530407839,B5759,BrandZ,Electronics,Low
"Red Widget",item,299,7.96,SupplierB,499030642282,B3161,BrandY,Automotive,Medium
"Green Tool",gadget,407,76.37,SupplierC,629644168453,B9358,BrandY,Toys,Medium
"Yellow Device",gadget,80,79.20,SupplierA,637468913274,B6421,BrandY,Automotive,High
"Green Tool",tool,88,14.18,SupplierD,727952437788,B1586,BrandY,Outdoor,Critical
"Green Tool",item,201,85.55,SupplierA,440657180745,B8489,BrandZ,Electronics,Critical
"Red Widget",gadget,102,40.25,SupplierD,977287728298,B9077,BrandX,Household,Critical
"Blue Gadget",gadget,300,19.95,SupplierA,503072730214,B5786,BrandZ,Electronics,Medium
"Green Tool",gadget,113,41.01,SupplierD,643909927614,B7397,BrandZ,Electronics,Low
"Red Widget",tool,369,58.79,SupplierC,906735726487,B8691,BrandY,Electronics,Low
"Yellow Device",tool,223,32.94,SupplierA,319311172255,B4860,BrandX,Toys,Medium
"Purple Item",widget,134,70.37,SupplierC,410899021531,B5598,BrandY,Electronics,High
"Green Tool",gadget,13,22.08,SupplierA,177313028659,B7022,BrandZ,Outdoor,Low
"Blue Gadget",widget,80,86.57,SupplierB,638301281163,B1532,BrandX,Electronics,Low
"Green Tool",tool,410,23.15,SupplierD,540865620403,B8375,BrandY,Electronics,Critical
"Yellow Device",item,329,79.11,SupplierD,683886576016,B5513,BrandY,Automotive,Critical
"Red Widget",item,12,31.63,SupplierD,612979731601,B8217,BrandX,Outdoor,Medium
"Yellow Device",tool,492,92.21,SupplierD,573719003177,B6407,BrandX,Automotive,Critical
"Red Widget",tool,105,76.22,SupplierC,294896965236,B7780,BrandX,Automotive,High
"Yellow Device",widget,376,48.79,SupplierA,184756302182,B9947,BrandZ,Automotive,Low
"Red Widget",device,355,86.98,SupplierA,570359851512,B5041,BrandX,Household,Low
"Green Tool",item,386,51.57,SupplierA,762169544254,B4463,BrandX,Electronics,Critical
"Yellow Device",gadget,178,73.71,SupplierB,560101430312,B1611,BrandY,Household,Critical
"Red Widget",widget,431,43.41,SupplierC,384883640912,B6239,BrandZ,Automotive,Medium
"Red Widget",widget,100,2.29,SupplierD,933975115690,B6456,BrandZ,Outdoor,Low
"Yellow Device",gadget,194,83.25,SupplierC,609216388947,B7927,BrandY,Electronics,Low
"Blue Gadget",gadget,478,75.00,SupplierD,621184483288,B8616,BrandZ,Electronics,High
"Purple Item",tool,187,80.85,SupplierA,471764029777,B6564,BrandZ,Toys,Critical
"Red Widget",device,473,90.02,SupplierD,676146361298,B1916,BrandY,Automotive,Critical
"Red Widget",gadget,368,57.06,SupplierC,895974836309,B4188,BrandY,Toys,Medium
"Blue Gadget",widget,460,40.18,SupplierA,854950673681,B7615,BrandZ,Automotive,Critical
"Purple Item",device,352,67.90,SupplierB,473906016032,B5927,BrandY,Toys,Low
"Red Widget",device,420,75.06,SupplierD,742245449104,B8483,BrandY,Electronics,Low
"Purple Item",widget,258,31.77,SupplierD,366274288358,B3346,BrandX,Electronics,Low
"Blue Gadget",item,427,56.23,SupplierB,160987779267,B2217,BrandX,Outdoor,Low
"Blue Gadget",device,107,53.27,SupplierA,371124843823,B1821,BrandX,Automotive,Critical
"Red Widget",tool,48,52.95,SupplierC,909838577659,B7539,BrandZ,Outdoor,Medium
"Purple Item",gadget,2,82.73,SupplierA,306611248107,B8902,BrandY,Household,High
"Blue Gadget",gadget,30,65.92,SupplierB,513561501257,B5827,BrandZ,Toys,Medium
"Yellow Device",widget,438,42.88,SupplierB,441358459562,B9980,BrandY,Toys,Critical
"Purple Item",widget,227,82.97,SupplierA,682326349184,B2286,BrandZ,Household,High
"Yellow Device",widget,346,38.90,SupplierD,656165023938,B2249,BrandX,Outdoor,Critical
"Yellow Device",widget,201,46.62,SupplierB,877119209384,B3875,BrandX,Outdoor,Critical
"Blue Gadget",item,94,74.88,SupplierD,193943962292,B1186,BrandX,Toys,Medium
"Green Tool",tool,81,61.88,SupplierC,610518080632,B2965,BrandZ,Electronics,Critical
"Purple Item",gadget,286,92.13,SupplierB,944888275925,B3840,BrandX,Automotive,Low
"Red Widget",tool,50,36.11,SupplierC,911404238247,B5515,BrandY,Outdoor,Low
"Yellow Device",gadget,147,50.38,SupplierA,435557319087,B2868,BrandZ,Toys,High
"Blue Gadget",tool,358,1.34,SupplierD,841782795606,B8865,BrandY,Electronics,Medium
"Blue Gadget",device,283,44.60,SupplierA,238597330375,B6846,BrandX,Outdoor,Low
"Red Widget",gadget,209,70.92,SupplierD,726093350604,B8860,BrandZ,Electronics,High
"Green Tool",tool,248,14.24,SupplierC,421953717950,B5118,BrandY,Toys,Low
"Yellow Device",gadget,350,57.99,SupplierD,627618631903,B3563,BrandX,Automotive,Critical
"Yellow Device",tool,262,91.09,SupplierD,308291853058,B8409,BrandZ,Toys,High
"Green Tool",gadget,180,97.83,SupplierC,177004727811,B4101,BrandY,Outdoor,Critical
"Purple Item",gadget,330,45.10,SupplierB,761362133814,B3826,BrandZ,Toys,Medium
"Purple Item",item,166,85.23,SupplierD,287020872767,B2750,BrandY,Outdoor,Low
"Green Tool",device,149,71.87,SupplierD,273209400134,B7138,BrandZ,Automotive,Medium
"Red Widget",widget,300,93.08,SupplierB,525946551326,B9994,BrandZ,Toys,Low
"Yellow Device",gadget,64,99.76,SupplierA,241970364639,B2102,BrandY,Automotive,Low
"Yellow Device",item,387,82.67,SupplierA,148863295253,B1129,BrandX,Household,Critical
"Yellow Device",tool,240,94.16,SupplierB,590766159450,B2381,BrandY,Outdoor,Low
"Green Tool",device,195,91.14,SupplierC,886926264343,B8683,BrandY,Household,High
"Red Widget",item,359,99.33,SupplierC,807143750947,B6042,BrandX,Toys,High
"Yellow Device",device,290,20.03,SupplierD,594954604988,B7092,BrandX,Toys,Low
"Purple Item",widget,396,95.66,SupplierB,263265921599,B9080,BrandX,Outdoor,Low
"Blue Gadget",gadget,450,84.96,SupplierA,395958771434,B4969,BrandZ,Electronics,Critical
"Blue Gadget",gadget,86,77.64,SupplierD,971843736871,B1431,BrandX,Household,Low
"Purple Item",device,128,49.19,SupplierA,495906030741,B3386,BrandZ,Toys,Medium
"Purple Item",device,369,88.86,SupplierA,315053538092,B3142,BrandY,Electronics,Critical
"Green Tool",device,365,37.45,SupplierA,537207951036,B6254,BrandY,Electronics,Critical
"Blue Gadget",tool,393,22.57,SupplierC,149097865566,B2936,BrandY,Household,Critical
"Green Tool",device,301,41.51,SupplierA,883344318991,B6980,BrandX,Outdoor,Low
"Purple Item",tool,86,96.65,SupplierC,645449337449,B9564,BrandY,Household,High
"Yellow Device",tool,7,59.66,SupplierD,203538346300,B1939,BrandY,Toys,Medium
"Blue Gadget",widget,253,70.04,SupplierB,919849815068,B1673,BrandZ,Automotive,Critical
"Red Widget",item,171,93.90,SupplierA,423968894985,B2813,BrandZ,Household,High
"Purple Item",widget,360,55.31,SupplierB,703399352547,B4702,BrandZ,Toys,High
"Blue Gadget",widget,97,18.23,SupplierA,700210239960,B8569,BrandZ,Toys,Critical
"Green Tool",device,10,59.92,SupplierB,672135617744,B5452,BrandZ,Outdoor,Medium
"Green Tool",item,401,9.89,SupplierA,632889793466,B9634,BrandZ,Outdoor,Critical
"Blue Gadget",widget,285,10.01,SupplierB,210499902584,B6987,BrandY,Automotive,High
"Blue Gadget",device,210,18.87,SupplierB,706355209516,B5715,BrandX,Electronics,Medium
"Green Tool",item,430,65.48,SupplierD,292233993223,B4277,BrandZ,Electronics,Critical
"Purple Item",item,327,7.00,SupplierC,588163021521,B2474,BrandY,Outdoor,Medium
"Blue Gadget",gadget,309,39.97,SupplierA,637124624751,B6689,BrandX,Household,Medium
"Blue Gadget",device,87,53.65,SupplierD,265700568493,B6893,BrandZ,Toys,Low
"Yellow Device",tool,398,88.02,SupplierC,274973934911,B2869,BrandY,Automotive,Critical
"Green Tool",gadget,388,97.53,SupplierD,313549505864,B3122,BrandY,Automotive,High
"Purple Item",item,87,1.33,SupplierC,841992606609,B2778,BrandZ,Electronics,Medium
"Red Widget",device,280,55.43,SupplierB,298938636078,B6548,BrandY,Household,Critical
"Blue Gadget",widget,392,9.85,SupplierA,969760414599,B4084,BrandY,Electronics,Medium
"Red Widget",gadget,239,96.79,SupplierA,622305974892,B1877,BrandX,Toys,Critical
"Purple Item",tool,467,81.09,SupplierC,443236795222,B3749,BrandY,Electronics,Medium
"Yellow Device",widget,20,31.33,SupplierB,759904473613,B6833,BrandY,Toys,Low
"Yellow Device",device,139,81.37,SupplierA,806259713370,B7964,BrandZ,Outdoor,Low
"Green Tool",widget,458,89.40,SupplierB,288655575478,B1629,BrandY,Toys,Critical
"Blue Gadget",widget,111,96.39,SupplierB,938795458154,B7109,BrandX,Household,Low
"Red Widget",widget,235,31.64,SupplierB,221152710933,B4465,BrandY,Electronics,Medium
"Blue Gadget",widget,233,59.42,SupplierD,925616156728,B5065,BrandZ,Toys,Medium
"Yellow Device",device,14,96.28,SupplierD,255069625643,B8328,BrandY,Household,Critical
"Blue Gadget",widget,171,47.23,SupplierC,309496672048,B3657,BrandX,Household,Low
"Purple Item",widget,229,73.50,SupplierB,585330531282,B2473,BrandZ,Toys,Medium
"Blue Gadget",widget,368,94.79,SupplierA,449706858449,B2061,BrandZ,Electronics,Medium
"Purple Item",device,34,49.01,SupplierA,672363682795,B8032,BrandY,Toys,Low
"Yellow Device",tool,360,51.67,SupplierB,166853139297,B4162,BrandZ,Electronics,High
"Yellow Device",tool,99,28.66,SupplierB,534940370523,B1645,BrandZ,Automotive,High
"Yellow Device",tool,259,19.43,SupplierD,524432672424,B8047,BrandZ,Household,Low
"Green Tool",device,114,71.42,SupplierC,524339684902,B2383,BrandZ,Household,Medium
"Red Widget",device,73,9.06,SupplierD,871296769089,B1309,BrandZ,Household,Low
"Yellow Device",widget,477,3.53,SupplierB,789982843734,B2532,BrandX,Electronics,Low
"Blue Gadget",device,376,40.51,SupplierC,638883716889,B9964,BrandY,Outdoor,Critical
"Blue Gadget",item,156,4.57,SupplierB,495263269140,B2169,BrandZ,Toys,High
"Blue Gadget",widget,390,5.24,SupplierD,883885452886,B3648,BrandZ,Automotive,High
"Yellow Device",item,188,5.87,SupplierD,180961315258,B1190,BrandZ,Household,Low
"Purple Item",item,380,43.97,SupplierC,466100408556,B7499,BrandZ,Toys,Medium
"Purple Item",widget,210,41.59,SupplierB,617877198884,B4816,BrandZ,Electronics,Medium
"Purple Item",widget,399,70.94,SupplierA,173953669717,B6392,BrandZ,Automotive,Low
"Blue Gadget",tool,181,59.28,SupplierB,652313389951,B9898,BrandZ,Toys,Medium
"Red Widget",item,244,80.75,SupplierA,598481099527,B5399,BrandY,Toys,Medium
"Green Tool",device,218,80.90,SupplierD,635857710439,B4752,BrandZ,Outdoor,Low
"Blue Gadget",device,358,64.59,SupplierB,886835645966,B7441,BrandY,Outdoor,Critical
"Red Widget",tool,88,51.11,SupplierC,117475100577,B3068,BrandY,Toys,Medium
"Red Widget",tool,361,66.60,SupplierC,767559350601,B5039,BrandY,Toys,Medium
"Green Tool",widget,228,8.43,SupplierD,602532095205,B3215,BrandZ,Toys,Low
"Purple Item",widget,375,49.35,SupplierB,831913580854,B4228,BrandY,Household,Critical
"Red Widget",tool,91,40.54,SupplierD,163013989015,B4869,BrandZ,Automotive,Low
"Red Widget",item,282,8.81,SupplierD,259144943916,B9896,BrandX,Automotive,Medium
"Yellow Device",gadget,199,72.42,SupplierA,455199466180,B5172,BrandZ,Toys,Medium
"Purple Item",tool,291,42.97,SupplierB,854579983998,B5128,BrandY,Toys,High
"Blue Gadget",device,397,7.87,SupplierD,632188813207,B9838,BrandY,Outdoor,High
"Blue Gadget",device,247,25.74,SupplierB,874774431649,B4387,BrandX,Household,Medium
"Green Tool",widget,411,70.04,SupplierD,418572648640,B4041,BrandX,Outdoor,Low
"Purple Item",item,432,72.90,SupplierC,915820800759,B2205,BrandZ,Automotive,Low
"Yellow Device",widget,54,11.77,SupplierA,111094909318,B4864,BrandY,Outdoor,Critical
"Yellow Device",item,142,43.39,SupplierD,955961063863,B2847,BrandZ,Outdoor,Critical
"Green Tool",gadget,463,21.90,SupplierA,116645089288,B1755,BrandY,Toys,High
"Blue Gadget",widget,412,53.60,SupplierB,838166395566,B9534,BrandZ,Outdoor,High
"Yellow Device",widget,381,63.00,SupplierA,109924852578,B6537,BrandY,Toys,Critical
"Blue Gadget",gadget,72,38.78,SupplierB,711416868792,B6874,BrandZ,Toys,Medium
"Yellow Device",gadget,360,30.03,SupplierD,824652150389,B9050,BrandY,Outdoor,High
"Purple Item",device,296,91.79,SupplierD,897248336881,B1571,BrandX,Toys,Critical
"Red Widget",widget,140,50.25,SupplierD,354724869736,B8799,BrandX,Automotive,Medium
"Green Tool",gadget,127,70.44,SupplierA,276758269405,B2781,BrandZ,Outdoor,High
"Green Tool",gadget,324,66.48,SupplierD,385133791499,B3018,BrandZ,Electronics,Low
"Purple Item",item,40,76.65,SupplierD,413429784068,B2891,BrandZ,Electronics,Low
"Blue Gadget",tool,311,82.11,SupplierB,758639642723,B6732,BrandY,Outdoor,Medium
"Purple Item",device,283,48.22,SupplierA,650357687414,B9009,BrandY,Electronics,Low
"Red Widget",gadget,236,59.68,SupplierA,945648038742,B7528,BrandX,Outdoor,Medium
"Purple Item",device,436,25.34,SupplierC,840042693433,B6985,BrandX,Automotive,Critical
"Red Widget",item,214,73.13,SupplierA,609484737764,B3922,BrandZ,Electronics,Critical
"Yellow Device",gadget,209,38.74,SupplierD,667777400638,B2143,BrandY,Outdoor,Low
"Red Widget",tool,109,70.67,SupplierA,452500325311,B7297,BrandZ,Automotive,High
"Red Widget",item,264,90.31,SupplierA,574530450788,B7386,BrandX,Household,Critical
"Green Tool",tool,355,8.47,SupplierB,312786484365,B1013,BrandX,Electronics,Medium
"Blue Gadget",gadget,367,56.74,SupplierD,805534592603,B9873,BrandY,Household,Medium
"Yellow Device",tool,86,2.12,SupplierD,400011507338,B1811,BrandZ,Electronics,Medium
"Yellow Device",gadget,234,78.60,SupplierB,802450699061,B1381,BrandZ,Automotive,High
"Purple Item",item,254,58.42,SupplierB,165979531940,B3741,BrandZ,Electronics,Medium
"Red Widget",gadget,498,33.87,SupplierC,222833705381,B2984,BrandX,Toys,Low
"Blue Gadget",item,321,36.91,SupplierD,515642674976,B9175,BrandZ,Household,High
"Yellow Device",device,19,48.73,SupplierC,184190650051,B9083,BrandZ,Outdoor,Low
"Yellow Device",widget,387,19.87,SupplierC,629608055340,B8147,BrandX,Outdoor,High
"Yellow Device",tool,181,37.98,SupplierB,158120766847,B7158,BrandX,Household,Low
"Green Tool",device,45,47.71,SupplierA,724581928579,B2487,BrandY,Outdoor,Low
"Yellow Device",widget,374,74.53,SupplierB,331227350253,B3434,BrandZ,Toys,Critical
"Red Widget",gadget,495,93.20,SupplierD,849415582702,B3840,BrandY,Automotive,Low
"Green Tool",device,16,56.65,SupplierA,301064959797,B2438,BrandX,Electronics,Low
"Yellow Device",widget,210,93.81,SupplierB,453592954837,B6081,BrandZ,Outdoor,Medium
"Purple Item",device,128,19.00,SupplierB,840197729765,B5687,BrandZ,Household,High
"Blue Gadget",item,20,64.26,SupplierA,246012239940,B5240,BrandX,Household,Critical
"Green Tool",gadget,69,56.88,SupplierC,525833089492,B6295,BrandY,Electronics,High
"Green Tool",item,449,19.27,SupplierC,239373159383,B8754,BrandZ,Electronics,High
"Red Widget",tool,416,34.92,SupplierB,254419002735,B1475,BrandY,Household,Medium
"Green Tool",gadget,151,79.36,SupplierB,400815049716,B8951,BrandX,Electronics,Critical
"Green Tool",tool,490,59.77,SupplierA,250312775589,B8413,BrandX,Automotive,Critical
"Blue Gadget",gadget,411,22.25,SupplierC,155763557140,B2897,BrandZ,Household,High
"Green Tool",item,387,85.46,SupplierC,257218927695,B2301,BrandZ,Household,Low
"Red Widget",device,182,87.96,SupplierA,890463041194,B8334,BrandZ,Household,Medium
"Yellow Device",widget,381,42.80,SupplierC,328600634998,B9906,BrandY,Outdoor,Medium
"Red Widget",tool,92,10.40,SupplierA,397156949218,B4142,BrandZ,Automotive,Critical
"Blue Gadget",widget,19,74.14,SupplierA,766084362204,B2650,BrandY,Toys,Medium
"Green Tool",widget,394,83.28,SupplierA,379123501207,B7345,BrandY,Household,Low
"Red Widget",gadget,484,36.97,SupplierA,787943674812,B6718,BrandY,Outdoor,Medium
"Green Tool",gadget,384,44.08,SupplierA,604454204451,B2009,BrandX,Household,Medium
"Purple Item",device,247,25.33,SupplierB,861438643755,B1239,BrandY,Toys,Low
"Red Widget",item,224,95.29,SupplierD,432972606646,B7403,BrandY,Electronics,Medium
"Blue Gadget",gadget,229,31.89,SupplierC,228691229151,B4782,BrandZ,Automotive,Medium
"Green Tool",item,23,13.03,SupplierA,573345382568,B7395,BrandX,Outdoor,Medium
"Blue Gadget",gadget,36,75.56,SupplierA,231349389466,B2203,BrandX,Electronics,High
"Yellow Device",device,71,79.97,SupplierC,699989253436,B5805,BrandZ,Outdoor,Critical
"Purple Item",tool,172,72.24,SupplierD,226334275855,B7512,BrandX,Household,High
"Green Tool",item,173,69.45,SupplierA,254176922517,B2693,BrandZ,Electronics,High
"Purple Item",device,198,98.32,SupplierB,820640891922,B4130,BrandY,Automotive,High
"Blue Gadget",widget,392,47.89,SupplierC,316511414997,B3962,BrandX,Outdoor,High
